"Mes","Puerto","Canarias-Cargadas","Canarias-Descargadas","Canarias-Tránsito","Nacional-Cargadas","Nacional-Descargadas","Nacional-Tránsito","UE-Cargadas","UE-Descargadas","UE-Transbordos","UE-Tránsito","Resto-Cargadas","Resto-Descargadas","Resto-Transbordos","Resto-Tránsito"
"2017-01","LA ESTACA (EL HIERRO)",1487.26,3534.83,0,0,0,0,0,0,0,0,0,0,0,0
"2017-01","LOS CRISTIANOS",27481.54,12693.88,0,0,0,0,0,0,0,0,0,0,0,0
"2017-01","S/C DE LA PALMA",8686.17,35002.8,0,14568.31,4175.93,6.03,0,6.5,0,0,0,0,0,0
"2017-01","S/C DE TENERIFE",243506.95,77024.6,20.1,68800.44,416352.21,2355.99,1921.62,106654.09,0,870.55,8439.37,9315.76,0,0.17
"2017-01","S/S DE LA GOMERA",5127.4,9811.98,382.4,0,0,0,0,0,0,0,0,0,0,0
"2017-02","LA ESTACA (EL HIERRO)",1466.05,3151.76,0,0,0,0,0,0,0,0,0,0,0,0
"2017-02","LOS CRISTIANOS",24681.25,12615.87,0,0,0,0,0,0,0,0,0,0,0,0
"2017-02","S/C DE LA PALMA",7955.92,29345.9,0,15754.3,5619.83,0,38.76,1249.41,0,0,0,26.24,0,0
"2017-02","S/C DE TENERIFE",206359.25,69924.63,27.65,64131.4,356884.51,4437.61,2444.59,164985.86,0,31.73,2908.25,7108.84,0,209
"2017-02","S/S DE LA GOMERA",5337.52,8331.9,184.9,0,0,0,0,0,0,0,0,0,0,0
"2017-03","LA ESTACA (EL HIERRO)",1816.79,3405.91,0,0,0,0,0,0,0,0,0,0,0,0
"2017-03","LOS CRISTIANOS",30510.61,15318.8,0,0,0,0,0,0,0,0,0,0,0,0
"2017-03","S/C DE LA PALMA",9743.83,38899.33,0,21224.79,4875.63,0,7.66,90.72,0,0,0,183.8,0,0
"2017-03","S/C DE TENERIFE",211707.19,85344.8,0,115265.62,437611.95,5916.3,3139.34,47503.4,0,53.9,2460,45069.61,0,28.97
"2017-03","S/S DE LA GOMERA",7145.11,10859.98,141,0,0,0,0,0,0,0,0,0,0,0
"2017-04","LA ESTACA (EL HIERRO)",1362.91,2913.46,0,0,0,0,0,0,0,0,0,0,0,0
"2017-04","LOS CRISTIANOS",25393.34,12653.5,0,0,0,0,0,0,0,0,0,0,0,0
