"Origen","Destino","Toneladas"
"AGAETE (G.C.)","Santa Cruz de Tenerife",1629312.17
"ARGUINEGUIN","Santa Cruz de la Palma",65598.05
"ARRECIFE DE LANZAROTE","LA LUZ Y LAS PALMAS",8.5
"ARRECIFE DE LANZAROTE","Santa Cruz de la Palma",15331.77
"ARRECIFE DE LANZAROTE","Santa Cruz de Tenerife",225355.32
"Granadilla","ARINAGA",2405.9
"La Estaca (El Hierro)","Los Cristianos",195947.07
"La Estaca (El Hierro)","Santa Cruz de Tenerife",620.8
"LA LUZ Y LAS PALMAS","ARRECIFE DE LANZAROTE",137.17
"LA LUZ Y LAS PALMAS","PUERTO DEL ROSARIO (FUERTEVENTURA)",11.33
"LA LUZ Y LAS PALMAS","Santa Cruz de la Palma",199987.91
"LA LUZ Y LAS PALMAS","Santa Cruz de Tenerife",1781133.35
"Los Cristianos","La Estaca (El Hierro)",316785.86
"Los Cristianos","Los Cristianos",11
"Los Cristianos","San Sebastian de la Gomera",909258.2
"Los Cristianos","Santa Cruz de la Palma",1860702.79
"Los Cristianos","VALLE GRAN REY",5074.28
"MORRO JABLE (FUERTEVENTURA)","Santa Cruz de Tenerife",26297.84
"PUERTO DEL ROSARIO (FUERTEVENTURA)","LA LUZ Y LAS PALMAS",47.81
"PUERTO DEL ROSARIO (FUERTEVENTURA)","San Sebastian de la Gomera",1511.5
"PUERTO DEL ROSARIO (FUERTEVENTURA)","Santa Cruz de la Palma",3482.42
"PUERTO DEL ROSARIO (FUERTEVENTURA)","Santa Cruz de Tenerife",110929.28
"SALINETAS","La Estaca (El Hierro)",3016.02
"SALINETAS","San Sebastian de la Gomera",4235.85
"SALINETAS","Santa Cruz de la Palma",28801.81
"SALINETAS","Santa Cruz de Tenerife",5176.31
"SALINETAS - LAS PALMAS","Santa Cruz de Tenerife",22.29
"San Sebastian de la Gomera","Los Cristianos",550024.46
"San Sebastian de la Gomera","SALINETAS",574.56
"San Sebastian de la Gomera","Santa Cruz de la Palma",27147.65
"San Sebastian de la Gomera","Santa Cruz de Tenerife",430.51
"San Sebastian de la Gomera","VALLE GRAN REY",477.22
"Santa Cruz de la Palma","ARRECIFE DE LANZAROTE",22090.86
"Santa Cruz de la Palma","La Estaca (El Hierro)",1072.08
"Santa Cruz de la Palma","LA LUZ Y LAS PALMAS",64751.02
"Santa Cruz de la Palma","Los Cristianos",673169.03
"Santa Cruz de la Palma","PUERTO DEL ROSARIO (FUERTEVENTURA)",1610.66
"Santa Cruz de la Palma","SALINETAS",42.59
"Santa Cruz de la Palma","San Sebastian de la Gomera",3862.66
"Santa Cruz de la Palma","Santa Cruz de Tenerife",110601.96
"Santa Cruz de Tenerife","AGAETE (G.C.)",1650883.94
"Santa Cruz de Tenerife","ARINAGA",554.99
"Santa Cruz de Tenerife","ARRECIFE DE LANZAROTE",1631662.03
"Santa Cruz de Tenerife","Granadilla",299435.74
"Santa Cruz de Tenerife","La Estaca (El Hierro)",80784.71
"Santa Cruz de Tenerife","LA LUZ Y LAS PALMAS",2033270.04
"Santa Cruz de Tenerife","LA TEJITA",7579.93
"Santa Cruz de Tenerife","LA TEJITA - TENERIFE",33913.72
"Santa Cruz de Tenerife","MORRO JABLE (FUERTEVENTURA)",43080.97
"Santa Cruz de Tenerife","PUERTO DEL ROSARIO (FUERTEVENTURA)",1388618.01
"Santa Cruz de Tenerife","SALINETAS",388980.37
"Santa Cruz de Tenerife","San Sebastian de la Gomera",196771.25
"Santa Cruz de Tenerife","Santa Cruz de la Palma",1168784.01
"Santa Cruz de Tenerife","Santa Cruz de Tenerife",78.77
"VALLE GRAN REY","Los Cristianos",2776.6
"VALLE GRAN REY","San Sebastian de la Gomera",121.05
