"Origen","Destino","Toneladas"
"Granadilla","ARINAGA",2405.9
"Los Cristianos","La Estaca (El Hierro)",316785.86
"Los Cristianos","San Sebastian de la Gomera",909258.2
"Los Cristianos","Santa Cruz de la Palma",1860702.79
"Los Cristianos","VALLE GRAN REY",5074.28
"Santa Cruz de Tenerife","AGAETE (G.C.)",1650883.94
"Santa Cruz de Tenerife","ARINAGA",554.99
"Santa Cruz de Tenerife","ARRECIFE DE LANZAROTE",1631662.03
"Santa Cruz de Tenerife","Granadilla",299435.74
"Santa Cruz de Tenerife","La Estaca (El Hierro)",80784.71
"Santa Cruz de Tenerife","LA LUZ Y LAS PALMAS",2033270.04
"Santa Cruz de Tenerife","LA TEJITA",7579.93
"Santa Cruz de Tenerife","LA TEJITA - TENERIFE",33913.72
"Santa Cruz de Tenerife","MORRO JABLE (FUERTEVENTURA)",43080.97
"Santa Cruz de Tenerife","PUERTO DEL ROSARIO (FUERTEVENTURA)",1388618.01
"Santa Cruz de Tenerife","SALINETAS",388980.37
"Santa Cruz de Tenerife","San Sebastian de la Gomera",196771.25
"Santa Cruz de Tenerife","Santa Cruz de la Palma",1168784.01
