"Origen","Destino","Toneladas"
"Agaete_GC","SC_TFE",1629312.17
"Arguineguin_GC","SC_LAPALMA",65598.05
"Arrecife_LZE","LaLuzYLasPalmas_GC",8.5
"Arrecife_LZE","SC_LAPALMA",15331.77
"Arrecife_LZE","SC_TFE",225355.32
"Granadilla_TFE","Arinaga_GC",2405.9
"LaEstaca_HIE","LosCristianos_TFE",195947.07
"LaEstaca_HIE","SC_TFE",620.8
"LaLuzYLasPalmas_GC","Arrecife_LZE",137.17
"LaLuzYLasPalmas_GC","PtoDelRosario_FUE",11.33
"LaLuzYLasPalmas_GC","SC_LAPALMA",199987.91
"LaLuzYLasPalmas_GC","SC_TFE",1781133.35
